Date,Open,High,Low,Close,Adj Close,Volume
2024-02-01,401.8299865722656,408.0,401.79998779296875,403.7799987792969,403.0346984863281,30657700
2024-02-02,403.80999755859375,412.6499938964844,403.55999755859375,411.2200012207031,410.4609680175781,28245000
2024-02-05,409.8999938964844,411.1600036621094,403.989990234375,405.6499938964844,404.9012451171875,25352300
2024-02-06,405.8800048828125,407.9700012207031,402.9100036621094,405.489990234375,404.74151611328125,18382600
2024-02-07,407.44000244140625,414.29998779296875,407.3999938964844,414.04998779296875,413.28570556640625,22340500
2024-02-08,414.04998779296875,415.55999755859375,412.5299987792969,414.1099853515625,413.3456115722656,21225300
2024-02-09,415.25,420.82000732421875,415.0899963378906,420.54998779296875,419.7737121582031,22032800
2024-02-12,420.55999755859375,420.739990234375,414.75,415.260009765625,414.4934997558594,21202900
2024-02-13,404.94000244140625,410.07000732421875,403.3900146484375,406.32000732421875,405.57000732421875,27824900
2024-02-14,408.07000732421875,409.8399963378906,404.57000732421875,409.489990234375,409.489990234375,20401200
2024-02-15,408.1400146484375,409.1300048828125,404.2900085449219,406.55999755859375,406.55999755859375,21825500
2024-02-16,407.9599914550781,408.2900085449219,403.44000244140625,404.05999755859375,404.05999755859375,22281100
2024-02-20,403.239990234375,404.489990234375,398.010009765625,402.7900085449219,402.7900085449219,24307900
2024-02-21,400.1700134277344,402.2900085449219,397.2200012207031,402.17999267578125,402.17999267578125,18631100
2024-02-22,410.19000244140625,412.8299865722656,408.57000732421875,411.6499938964844,411.6499938964844,27009900
2024-02-23,415.6700134277344,415.8599853515625,408.9700012207031,410.3399963378906,410.3399963378906,16284800
2024-02-26,411.4599914550781,412.1600036621094,407.3599853515625,407.5400085449219,407.5400085449219,16193500
2024-02-27,407.989990234375,408.32000732421875,403.8500061035156,407.4800109863281,407.4800109863281,14835800
2024-02-28,408.17999267578125,409.29998779296875,405.32000732421875,407.7200012207031,407.7200012207031,13183100
2024-02-29,408.6400146484375,414.20001220703125,405.9200134277344,413.6400146484375,413.6400146484375,31910700
2024-03-01,411.04998779296875,414.96820068359375,410.8800048828125,412.57000732421875,412.57000732421875,6964009
